#{"t_start": 1765929090.221403, "env_id": "Reacher-v5"}
r,l,t
286.346805,50,108.492023
301.161898,50,108.621644
256.9183,50,108.748972
180.568921,50,108.876422
300.774361,50,109.003939
309.723914,50,109.133299
229.417457,50,109.260915
130.219046,50,109.388624
156.050913,50,109.515812
185.594879,50,109.645583
87.346158,50,109.773095
341.777078,50,109.900713
283.09972,50,110.027544
150.171756,50,110.157133
337.346649,50,110.284595
285.219677,50,110.411735
216.631812,50,110.538928
212.954596,50,110.668138
223.47585,50,110.795719
448.462218,50,110.923148
323.302457,50,111.050441
254.522888,50,111.180072
92.261897,50,111.307796
336.270279,50,111.435333
361.037007,50,111.562643
286.542955,50,111.692283
372.019404,50,111.819698
291.387636,50,111.947291
267.676661,50,112.074625
334.430553,50,112.20659
288.590683,50,112.33563
289.323802,50,112.466322
262.466129,50,112.594927
53.067878,50,112.7255
268.179715,50,112.853257
383.530359,50,112.980886
278.256228,50,113.108573
308.227067,50,113.238859
53.594381,50,113.366687
32.333989,50,113.494505
305.877818,50,113.622195
175.310877,50,113.752209
35.319912,50,113.880366
300.913637,50,114.007907
126.94771,50,114.13615
181.985096,50,114.266058
30.235437,50,114.394101
249.094253,50,114.521635
336.429028,50,114.64913
254.904922,50,114.780152
252.004726,50,114.907762
343.774408,50,115.038324
368.27163,50,115.168163
132.905741,50,115.298788
261.836385,50,115.42697
54.00733,50,115.5543
156.694972,50,115.681518
249.090544,50,115.811836
229.232775,50,115.939729
193.737965,50,116.067371
306.050541,50,116.195109
404.265883,50,116.32526
369.381363,50,116.453555
216.104502,50,116.580986
269.185797,50,116.708132
221.321218,50,116.838007
291.510621,50,116.965748
356.041854,50,117.092832
173.579722,50,117.219997
263.669958,50,117.349843
252.909111,50,117.477649
329.082575,50,117.605229
272.862555,50,117.732058
261.139917,50,117.861726
48.316521,50,117.989658
56.311958,50,118.117295
277.46292,50,118.244773
360.722849,50,118.374343
308.67746,50,118.501929
207.961971,50,118.629597
189.797415,50,118.756806
272.269047,50,118.890069
271.957274,50,119.018331
242.973427,50,119.146184
178.474792,50,119.273944
328.117824,50,119.404537
143.782957,50,119.532246
252.880733,50,119.659746
344.970568,50,119.78709
306.037682,50,119.916944
292.763921,50,120.044152
416.480344,50,120.171703
314.433012,50,120.298925
309.844281,50,120.439129
415.070461,50,120.567286
126.938656,50,120.694873
256.739616,50,120.822362
331.709348,50,120.951915
310.205923,50,121.079383
261.207634,50,121.206712
330.093738,50,121.334235
350.060989,50,121.464148
296.674132,50,121.59174
388.261634,50,121.719287
379.460128,50,121.846808
64.783122,50,121.9761
395.547499,50,122.10361
374.877572,50,122.230867
337.611902,50,122.358458
319.690747,50,122.488015
342.131871,50,122.615509
314.708135,50,122.743305
121.455216,50,122.870719
409.369659,50,123.000327
344.431787,50,123.128027
287.186539,50,123.255792
387.406504,50,123.383505
